lr=0.0001
epoch	train_loss	valid_loss	accuracy	time
0	1.179001	0.643002	0.797222	04:39
1	0.444035	0.512971	0.775000	02:22
2	0.415322	0.582491	0.722222	02:23
3	0.324277	0.374057	0.838889	02:22
4	0.311301	0.369884	0.847222	02:20
5	0.330087	0.385751	0.836111	02:22
6	0.249140	0.390487	0.838889	02:22
7	0.219079	0.322737	0.880556	02:22
8	0.224058	0.272925	0.891667	02:21
9	0.233933	0.278460	0.888889	02:21

lr=0.00001

epoch	train_loss	valid_loss	accuracy	time
0	6.312099	6.349586	0.469444	02:21
1	1.576187	1.458863	0.727778	02:21
2	0.548364	0.673193	0.766667	02:23
3	0.365614	0.398790	0.844444	02:22
4	0.317412	0.429963	0.827778	02:23
5	0.326347	0.356833	0.852778	02:22
6	0.269829	0.399491	0.830556	02:22
7	0.235861	0.367225	0.844444	02:23
8	0.256931	0.340348	0.855556	02:23
9	0.257996	0.366836	0.844444	02:24

-------------------------------------------------------------

new data:

lr=0.0001

epoch	train_loss	valid_loss	accuracy	time
0	0.958176	0.737730	0.819444	03:02
1	0.361639	0.861742	0.630556	02:26
2	0.255388	0.255640	0.905556	02:27
3	0.204230	0.564578	0.780556	02:25
4	0.224998	0.197477	0.930556	02:24
5	0.121327	0.182176	0.913889	02:26
6	0.081293	0.233406	0.919444	02:24
7	0.092039	0.155281	0.938889	02:26
8	0.059264	0.124874	0.952778	02:26
9	0.078597	0.127103	0.958333	02:26

lr=0.00005

epoch	train_loss	valid_loss	accuracy	time
0	3.890364	2.721646	0.741667	02:27
1	0.396930	0.449354	0.858333	02:26
2	0.285650	0.533498	0.800000	02:26
3	0.194536	0.247048	0.902778	02:23
4	0.169475	0.182803	0.944444	02:23
5	0.165364	0.231386	0.922222	02:22
6	0.112659	0.135987	0.947222	02:26
7	0.071460	0.215324	0.927778	02:26
8	0.079876	0.204217	0.941667	02:26
9	0.073106	0.144116	0.958333	02:26
10	0.077889	0.129005	0.955556	02:26
11	0.048309	0.146217	0.961111	02:26
12	0.044482	0.141981	0.955556	02:26
13	0.040309	0.135663	0.966667	02:26
14	0.028084	0.135910	0.961111	02:26

epoch	train_loss	valid_loss	accuracy	time
0	4.651911	4.013082	0.677778	02:26
1	0.582696	0.566560	0.852778	02:25
2	0.267193	0.528971	0.822222	02:25
3	0.199064	0.259911	0.913889	02:24
4	0.167794	0.172160	0.938889	02:24
5	0.193773	0.310326	0.863889	02:25
6	0.120478	0.183183	0.927778	02:25
7	0.075529	0.241512	0.919444	02:25
8	0.095171	0.215953	0.933333	02:23
9	0.091728	0.115448	0.961111	02:21
10	0.085455	0.124178	0.950000	02:23
11	0.086008	0.132074	0.950000	02:23
12	0.072659	0.120797	0.961111	02:23
13	0.052454	0.111294	0.961111	02:26
14	0.040586	0.130864	0.955556	02:26
15	0.024050	0.133087	0.950000	02:26
16	0.057071	0.112343	0.961111	02:26
17	0.022905	0.112716	0.963889	02:26
18	0.028047	0.128754	0.955556	02:24
19	0.027455	0.128556	0.958333	02:21
