#meta: size=250, randomness=25, bs=4, lr=0.0001, nir_conv=r_conv, net=resnet34(pretrained), loss=CrossEntropyLoss_mod, metric=accuracy, training_data=raw_data, no data aug, no normalization

epoch	train_loss	valid_loss	accuracy	time
0	1.576172	1.081518	0.764368	05:40
1	0.509056	0.574208	0.790230	05:43
2	0.421249	0.706369	0.698276	05:43
3	0.425734	0.439417	0.813218	05:45
4	0.395079	0.472705	0.798851	05:46
5	0.349010	0.427837	0.830460	05:58
6	0.362221	0.358925	0.853448	06:01
7	0.281446	0.380115	0.850575	05:51
8	0.296166	0.373861	0.841954	05:57
9	0.267665	0.374355	0.841954	06:00

epoch	train_loss	valid_loss	accuracy	time
0	2.031249	1.351471	0.686782	05:44
1	0.526532	0.759609	0.589080	05:43
2	0.454996	0.407826	0.818965	05:42
3	0.386665	0.548618	0.784483	06:03
4	0.377066	0.438025	0.804598	06:30
5	0.385668	0.372589	0.864943	06:08
6	0.338580	0.392552	0.810345	05:47
7	0.293152	0.362040	0.839080	05:46
8	0.341973	0.352799	0.836207	05:47
9	0.327990	0.341607	0.862069	05:52

epoch	train_loss	valid_loss	accuracy	time
0	1.580900	1.351508	0.715517	05:58
1	0.491664	0.413574	0.830460	05:57
2	0.376176	0.444036	0.821839	05:55
3	0.428734	0.401202	0.830460	06:11
4	0.379668	0.409717	0.841954	06:14
5	0.377573	0.427502	0.827586	06:34
6	0.367108	0.388007	0.841954	06:06
7	0.315514	0.405917	0.839080	05:58
8	0.249415	0.383354	0.836207	05:48
9	0.285455	0.373193	0.841954	05:58

epoch	train_loss	valid_loss	accuracy	time
0	2.031249	1.351471	0.686782	05:58
1	0.526532	0.759609	0.589080	05:57
2	0.454996	0.407826	0.818965	05:54
3	0.386665	0.548618	0.784483	06:09
4	0.377066	0.438025	0.804598	06:05
5	0.385668	0.372589	0.864943	06:37
6	0.338580	0.392552	0.810345	06:03
7	0.293152	0.362040	0.839080	05:46
8	0.341973	0.352799	0.836207	05:45
9	0.327990	0.341607	0.862069	05:46

epoch	train_loss	valid_loss	accuracy	time
0	1.580900	1.351508	0.715517	05:59
1	0.491664	0.413574	0.830460	06:02
2	0.376176	0.444036	0.821839	06:30
3	0.428734	0.401202	0.830460	06:00
4	0.379668	0.409717	0.841954	05:58
5	0.377573	0.427502	0.827586	05:53
6	0.367108	0.388007	0.841954	05:50
7	0.315514	0.405917	0.839080	05:47
8	0.249415	0.383354	0.836207	05:53
9	0.285455	0.373193	0.841954	05:53

epoch	train_loss	valid_loss	accuracy	time
0	2.031249	1.351471	0.686782	06:41
1	0.526532	0.759609	0.589080	05:52
2	0.454996	0.407826	0.818965	05:47
3	0.386665	0.548618	0.784483	05:47
4	0.377066	0.438025	0.804598	05:49
5	0.385668	0.372589	0.864943	05:47
6	0.338580	0.392552	0.810345	05:47
7	0.293152	0.362040	0.839080	05:44
8	0.341973	0.352799	0.836207	05:43
9	0.327990	0.341607	0.862069	05:43

epoch	train_loss	valid_loss	accuracy	time
0	1.580900	1.351508	0.715517	06:05
1	0.491664	0.413574	0.830460	05:50
2	0.376176	0.444036	0.821839	05:48
3	0.428734	0.401202	0.830460	05:48
4	0.379668	0.409717	0.841954	05:56
5	0.377573	0.427502	0.827586	05:46
6	0.367108	0.388007	0.841954	05:48
7	0.315514	0.405917	0.839080	05:47
8	0.249415	0.383354	0.836207	05:57
9	0.285455	0.373193	0.841954	05:51

epoch	train_loss	valid_loss	accuracy	time
0	2.031249	1.351471	0.686782	06:22
1	0.526532	0.759609	0.589080	05:57
2	0.454996	0.407826	0.818965	05:45
3	0.386665	0.548618	0.784483	05:43
4	0.377066	0.438025	0.804598	05:43
5	0.385668	0.372589	0.864943	05:44
6	0.338580	0.392552	0.810345	05:44
7	0.293152	0.362040	0.839080	05:43
8	0.341973	0.352799	0.836207	05:45
9	0.327990	0.341607	0.862069	05:46

epoch	train_loss	valid_loss	accuracy	time
0	2.031249	1.351471	0.686782	06:36
1	0.526532	0.759609	0.589080	05:55
2	0.454996	0.407826	0.818965	05:45
3	0.386665	0.548618	0.784483	05:46
4	0.377066	0.438025	0.804598	05:42
5	0.385668	0.372589	0.864943	05:41
6	0.338580	0.392552	0.810345	05:41
7	0.293152	0.362040	0.839080	05:42
8	0.341973	0.352799	0.836207	05:41
9	0.327990	0.341607	0.862069	05:42

epoch	train_loss	valid_loss	accuracy	time
0	2.031249	1.351471	0.686782	06:35
1	0.526532	0.759609	0.589080	05:50
2	0.454996	0.407826	0.818965	05:44
3	0.386665	0.548618	0.784483	05:43
4	0.377066	0.438025	0.804598	05:51
5	0.385668	0.372589	0.864943	06:00
6	0.338580	0.392552	0.810345	05:55
7	0.293152	0.362040	0.839080	05:58
8	0.341973	0.352799	0.836207	06:02
9	0.327990	0.341607	0.862069	05:48
