#meta: size=250, randomness=25, bs=4, lr=0.0001, nir_conv=r_conv, net=resnet34(pretrained), loss=CrossEntropyLoss_mod, metric=accuracy, training_data=raw_data, data aug, no normalization

epoch	train_loss	valid_loss	accuracy	time
0	1.895028	0.921772	0.781609	06:56
1	0.514598	0.740121	0.488506	06:15
2	0.454561	0.616072	0.623563	06:04
3	0.393823	0.491001	0.824713	06:06
4	0.393961	0.428016	0.813218	06:08
5	0.368492	0.399807	0.867816	06:09
6	0.332283	0.361254	0.836207	06:08
7	0.311202	0.360591	0.847701	06:08
8	0.340684	0.351919	0.847701	06:07
9	0.345100	0.344997	0.853448	06:14

epoch	train_loss	valid_loss	accuracy	time
0	1.895028	0.921772	0.781609	06:45
1	0.514598	0.740121	0.488506	06:19
2	0.454561	0.616072	0.623563	06:06
3	0.393823	0.491001	0.824713	06:05
4	0.393961	0.428016	0.813218	06:06
5	0.368492	0.399807	0.867816	06:06
6	0.332283	0.361254	0.836207	06:09
7	0.311202	0.360591	0.847701	06:18
8	0.340684	0.351919	0.847701	06:08
9	0.345100	0.344997	0.853448	06:19

epoch	train_loss	valid_loss	accuracy	time
0	1.693533	0.805760	0.772988	06:44
1	0.498927	0.664391	0.497126	06:22
2	0.457756	0.606082	0.778736	06:09
3	0.365140	0.487227	0.798851	06:06
4	0.375792	0.423971	0.816092	06:11
5	0.348154	0.493695	0.824713	06:19
6	0.330110	0.364864	0.853448	06:10
7	0.308029	0.358903	0.853448	06:10
8	0.344454	0.346189	0.856322	06:10
9	0.322421	0.339773	0.856322	06:12

epoch	train_loss	valid_loss	accuracy	time
0	1.895028	0.921772	0.781609	05:55
1	0.514598	0.740121	0.488506	05:55
2	0.454561	0.616072	0.623563	05:58
3	0.393823	0.491001	0.824713	05:56
4	0.393961	0.428016	0.813218	05:56
5	0.368492	0.399807	0.867816	05:55
6	0.332283	0.361254	0.836207	05:55
7	0.311202	0.360591	0.847701	06:05
8	0.340684	0.351919	0.847701	06:37
9	0.345100	0.344997	0.853448	06:06


ch=g
epoch	train_loss	valid_loss	accuracy	time
0	1.939568	1.006005	0.744253	05:55
1	0.521603	0.683914	0.566092	05:54
2	0.463388	0.520517	0.767241	05:53
3	0.384303	0.419554	0.821839	05:55
4	0.387799	0.401628	0.833333	05:57
5	0.353340	0.391310	0.836207	06:15
6	0.341513	0.365379	0.850575	06:28
7	0.316748	0.358302	0.844828	06:20
8	0.355081	0.342962	0.850575	06:05
9	0.332792	0.339382	0.850575	06:05

ch=g, size=400

epoch	train_loss	valid_loss	accuracy	time
0	1.568460	0.649015	0.824713	06:54
1	0.527782	0.828736	0.525862	06:39
2	0.475834	0.400226	0.844828	06:45
3	0.399860	0.548419	0.810345	06:42
4	0.406216	0.435264	0.824713	06:51
5	0.374469	0.408289	0.818965	06:52
6	0.328918	0.339602	0.847701	06:48
7	0.300704	0.329894	0.867816	06:47
8	0.312247	0.337833	0.847701	06:51
9	0.295268	0.336402	0.870690	06:50
